Company Name,Verticals,Financing Stage,Region,Company Description,Company Highlights,Pitch Deck,Get Connected,Founder Name,View LinkedIn,Pitch Video (if available),View Website,State,Country,Accelerator Program
Moolathon,"Fintech,Healthtech,Sports Tech",Seed,United States,"Moolathon is a performance-based fundraising platform that gives organizations, groups and individuals the ability to raise money with the miles you walk, run or bike!","- 6,000+ Active Users.
- 500+ Fitness Fundraisers hosted.
- Monthly Revenue up 6x just this year.
- Recent partnership with workforce communications company that will expose us to over 120,000 new users.",Moolathon VC Deck 2.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/s79m8--wF9SHauNKjSv5ZQ/simHsymZK1mHtvJ59-txQtW166oJPwRel_fnAW113twvVZ7LMELfklAcOOR2JV-2WcP-0cNcDlIXUVfrPu2GH2U-pps7ZXAPwUhHS4zqvajgYGM34qZ3JFMZg6ZEMoUlqTofPuogNB1xT0tW_uESKA/HA5O52a5jYkxWQYjn11u_gVbqoxi40aG4Oqi6055ua4),https://brdg.app/s/cebjav,Mac Wilkinson,https://www.linkedin.com/in/mac-wilkinson-1aa564196/,,https://www.Moolathon.com,Kentucky,United States,Techstars Washington DC powered by J.P. Morgan
"Clever Offsets, Inc.","Big Data,Cleantech,Climate tech",Pre-Seed,United States,Clever is a B2B data company for the carbon markets.  Think Pitchbook or Bloomberg Terminal for this vertical.,"- Launched freemium webapp product recently, which is gaining repeat users. 
- Have met with and received interest from numerous Fortune 500 companies and international consultancies.",Clever pitch deck 2024 Q1.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/pWxxvAUy5ooaqLM8uryh_Q/uik-BLm4ji_-Iagjh1B3LtONuAbCwew2px07h1pf8VbCaoYb3QF50gVHBf6HvfmrvyFVptw_pygh-AebTpv1FmdNvv3wgR0RFcC74aeH9eX-aqyhvlcsR72ZoqIOQ-gV1lB7BXKnu-Z9uR1Eu7p8a-zNO0qualfKZtJy740uso0/2PUIwTvQGLSfRtUo_p7QIfcSJ6M_a4L7WDYFKmiVeYY),https://brdg.app/s/x7r4gy,Rick Beaumont,https://www.linkedin.com/in/rickbeaumont/,,https://www.cleveroffsets.com/,New York,United States,Techstars Alabama EnergyTech Accelerator
Equility,"Artificial intelligence and machine learning,Fintech",Pre-Seed,United States,"Instantly integrate your accounting platform, digital apps, and financial documents and we'll provide you with a real-time audit of your accounting accuracy.","- Launched alpha product on a bootstrapped budget, allowing us to gain insights from ~200 initial users.
- Fully integrated with QuickBooks online and able to provide a real-time, limited audit of presented financial statements.
- Near completion of integrating with 90% of all e-commerce platforms.
- Utilizing a universal-API company to integrate with 90% of all payroll, HR, and benefits platforms.",Equility-PitchDeck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/NC6RsnofUXR3aLFaUxLixw/-JEaF5SRD4LSwLuWkGrZ8G88VTodVNWC6KK8sPFJVr1wts6IxkiL3DPiU0SVcjfycVgOjm1y69P3mgRjlVZfrtMaDmQyp1V0MGfML9oNMwJPMRXMbyTQfxsT1s_OTeZmDj0BdtUdW5HDVrA6pRxagbVslwCuZvgY89U09eVQ-JQ/yh2PN9G0VPcrwAAf8vXTLuD0Ixv-gfjqfI7R-tnnqms),https://brdg.app/s/gv8r5g,Michael Nieto,https://www.linkedin.com/in/michaeljosephnieto/,,https://www.equilityhq.com,New Mexico,United States,Build in Tulsa Techstars Accelerator
Wise Assistant,"Adtech,Marketing tech,Restaurant tech",Seed,United States,"Wise Assistant empowers multi-unit restaurant & retail chains to drive sales with local micro-influencers. Our local intelligence offers faster influencer matching, cost-effective management, and content with 6X engagement over influencer platforms.","- $242K Booked ARR with $321K ARR in Negotiations; 75% gross margins in 2023.
- 12 existing large customers with two channel partners and seven more in discussion.
- Enterprise contracts sold to date range from $25K to $60K/year.",Wise Pitch Deck_Jan 2024_Emal Preview (2).pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/a9rdui-t2j3Rjngsvd5XSw/2dy3aBNpOSc63Y66FqhO7JC3BJ40YIB1CCjuYs1NLrWiFK3nxVffOlb4UJM2XK_Ev-iIdnlZUz9QKulcMDKjl0yM752mkF3JB_-NCCciGllw23-VEAV98CCbCxAPYPa3HytSTq--tjir3bIYddjiCG8g-ww7Zz3qkxiqXBFUg9HWwlWqOyo8inxHOAnygWSb/m3Y6HWIccMj23M0SuBLgZA6eoEO0LuaV8zvUFvKXvqc),https://brdg.app/s/w9a76b,Michael Diego,https://www.linkedin.com/in/michaeladiego/,,www.wiseassistant.com,California,United States,Techstars Detroit powered by J.P. Morgan
"Kinometrix, Inc","Artificial intelligence and machine learning,B2B payments,Healthtech",Pre-Seed,United States,"Kinometrix has engineered an innovative, patient safety platform designed to mitigate preventable harm events in hospitals. Using machine learning and electronic health record data, our platform offers accurate, real-time, risk assessments. ","- 2 signed LOIs with major health systems; contract negotiations in process.
- Contract negotiations with Hospital for Special Surgery and Marin Health.
- Product is customer ready and will be deployed with initial customers in Q1 2024.
- Product validation results to be published by customer in Q1 2024.",Kinometrix Fundraise_vTechstarsInvestorReveal.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/0TLDaTZ9UnmnaNbvjj24Aw/3eEkGVCavQIy-6b3KNABx1IiwjP1tc9jeq0XtGr8S60wE0Bd3woOjd3OE29u-AJvtrlGev1am7t_Cm1ExUa81kvIG0WaKLvSaoGKg2A-Bv3L2VJ3YgYroxh2rCek3u-PMdvBwFnTzj-CazSyerd-dVDbUeOOUnLJQ5o-mNt-vwOaxmxhL2ARTAQF2aWKJPEV/Z4x2JDXCuyWh0vypVSCjUtyTZrW93sWqYCTydwdwbpw),https://brdg.app/s/k7rae1,Devina Desai,https://www.linkedin.com/in/devina-h-desai/,https://fast.wistia.com/embed/medias/i8p00z90bn,https://kinometrix.com,Virginia,United States,Techstars Los Angeles powered by J.P. Morgan
AIS,"Artificial intelligence and machine learning,Real estate tech",Seed,United States,AIS is a B2B Saas Company that is a hardware agnostic security platform for Property Management firms. Empowering their current systems with AI/ Computer Vision. We're now deployed in 3 States helping our clients protect over $250 Million in Assets.,"- Finished TechStars & another accelerator all while grossing over 100K in '23.
- Signed a 5 Year deal with one of our early clients, that includes expansion into their entire portfolio. 
- Protecting over 250M in Assets going into Q1 '24, up from the 100M going into Q4 '23.
- Increased our Cameras on Platform from Q3 '23 by 70% by the end Q4 '23.",AIS_Dec_Deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/TvLVTK2HPozUsxMUr63KkQ/uuCkxOic7wmRMLTCN2Vf-Cv4VSldxSk8_ED9yeSMvXaAaFulDqG2ssiY-vpnRsVWXXabhY7Y4QaoTCOB3wPckvuUtkYXnd-VDyLVpINyCl0iQAqByLkXg43rYRA7S_hvGjfRqVKVXqyO8ZxPYZ0_2Q/8V17FRLr0ZOKOYRtwvEUPpKHhnG_H1pYNpRfzMNrGwI),https://brdg.app/s/o19o25,Joshua Rousseau,https://www.linkedin.com/in/joshua-rousseau/,,https://www.amherstintelligentsecurity.com/,Massachusetts,United States,Techstars Boston Accelerator
"Greenfluidics, Corp.","Climate tech,Construction technology,Life sciences",Pre-Seed,Latin America,Greenfluidics is bringing back the nature to the cities by turning building façades into 'urban lungs'. Their visually captivating microalgae façades empower developers and architects to design and construct more efficient green buildings. ,"- Began negotiations to feature our technology in FIFA World Cup 2026 venues, expanding global presence.
- Launched an advanced biopanel POC at Paris Demo Day, significantly enhancing design and functionality.
- Moved R&D to Mexico's largest industrial manufacturing hub, optimizing U.S. nearshoring opportunities.
- Scaled up microalgae production capacity from 50L in 2023 to over 1000L in 2024, showcasing rapid growth.",Greenfluidics Pitch Deck ENG Jan24.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/PLXURqf0OjxiTKGeiyvxEQ/ltPTBK_kVEH6NLGtSVymkbRSIofEJ7o1Mc2_HrG-wdWXx1Tl9R4DmjsYSS2k1GWt_F4sstEwtwnxTagcQ17WJafG_TX69SuIyktU-Q60sI9lZsGoOCxkk9hF_cJcaT1pqj3gozpU8ru3FGo89t5IhlurMncRbfUQ2632BEf--4c/arkUzCg5IE4UpI-i2tlIXjxFqdHnrv8Lj-x3Lee9brk),https://brdg.app/s/ratk4z,Adan Ramirez Sanchez,https://www.linkedin.com/in/adanramirezsan/,https://fast.wistia.com/embed/medias/cyt36kej1g,https://greenfluidics.com,,Mexico,Techstars Sustainability Paris Accelerator
ChatGenie,"Artificial intelligence and machine learning,Marketing tech,Mobile commerce",Seed,Asia,"ChatGenie is an In-App Commerce Platform that provides In-App Stores to businesses within social media, messaging, and digital wallet apps.","- Transaction volume is growing by an average of 15% WoW in the past 6 weeks.
- Total transactions are up by 147% in 2023 from the previous year.
- GMV is up by 121% in 2023 from the previous year.
- Our monthly burn rate has been reduced to $6,000, with a sustained runway until December 2025.",ChatGenieReadingDeck1-6-2024.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/kLxvEIbqQkgwPRO50HYVLQ/hSkb0UQh8GKjRIr3FlS7qGB4bj67goHrwXZr1h8z7YcuCIt9F3Q4AG1KWiwXGxGceDVBcXhw8zDUVmAi48V4eHXTfUAV0IbQg2Wv3TTNxULyMWw8nZf0dxAbODI0ijdd2Sxl9nQ1CnQlPfYTMiac7FKn2hMxZX0HvOp2DGXipWI/o4SB-A6x1qzumRkA_G2QBFsjxkqwP6r2snWOFBTPxzw),https://brdg.app/s/p7716v,Ragde Falcis,https://www.linkedin.com/in/ragdefalcis/,,https://chatgenie.ph,,Phillippines,Techstars Future of Ecommerce powered by eBay
ScoutIt,"Climate tech,Mobility tech,Supply chain technology",Pre-Seed,United States,"ScoutIt is a software platform to manage the EV battery End-of-life and enable a true battery circular economy. 
ScoutIt allows EV and battery sellers to extract untapped value from end-of-life EV batteries and comply with international regulations.","- Our platform is being used by 15 companies in the battery energy storage sector, with 15 MWh of second-life battery supply on our platform.
- We are working directly with one of the largest carmakers in the world and have access to their battery supply.
- We are collaborating with Alabama Mobility and Power Program, an organization based at Tuscaloosa University focusing on EV battery supply chain.
- We partnered with Volatus, a leader in the EVTOL vertiport and charging infrastructure, to manage EOL batteries coming from EVTOLs.
- Official partners of Enel Green Power, an energy utility that is using our platform for two grid-scale storage projects based on second-life batteries.",ScoutIt_Deck_Feb24.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/qxaXnjjkwmaCDMdHbfSZKQ/sszhsvunTvGnBOkUU-N3fv-eMiPiff-3IkrHAhVG-aSvkzYAaajL_rhf9t8WMo7XAM9f5JV4Y1CTG7DGachQp3fauFZ5_TQltN2neuJRMtvq_tX_Vktldy6RF4advBqcvEp_yOMnJukn0tHjUA6xXYGUysCzgXze7wYwz9dzL-Q/uXTxPGzKeHZzkdagNoeEHAgyb_kjATj8OkQGTCY7Foc),https://brdg.app/s/m36aup,Davide Giacobbe,https://www.linkedin.com/in/davidegiacobbe/,,www.scoutitweb.com,North Carolina,United States,Techstars Alabama EnergyTech Accelerator
Visionify Inc,"Industrials,Manufacturing,Oil and gas",Seed,United States,Visionify provides Workplace Safety SaaS which runs AI on existing CCTV cameras thus helping Manufacturing companies improve workers Health and Safety. Visionify can auto detect 70+ Safety Hazard on the work floor and can instantly raise alerts.,"'- Founders have a unique mix of technology consulting (Computer Vision) and operating a factory.
- Two Enterprise Pilots ongoing with possibility of expansion to 100+ sites.
- Product is at Commercialization phase ready for mass adoption.
- Due to our solid thought leadership based content marketing, we are getting consistent inbound interest in our product offering. We are in talks with several big Enterprise logos. Pipeline looking really strong.",Visionify Investor Reveal Redact.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/eWxVAuNaqJJAz4Ckbz_sOA/VaeaObxEixiia_0PLx1TcWx456cXBE5xhsnL_VPQQfHlkCECTNS1ezVGVpCQ1b-liu3hPBky-LakD4gzb0DcVohkXF1nyQMdomjvsrL_QJWOXwwa1eO6eBlDY-uTdvjoutYE8697s4a54v8ivkYZYbVlN6uQLBnd6rnpoEBe1Q0/UF90pgzdU1wJDZeQ2aMOXvwAQXbq0N9utdvj3NZIOPo),https://brdg.app/s/dllx3p,Priyesh Sanghvi,https://www.linkedin.com/in/priyesh-sanghvi/,,www.visionify.ai,Colorado,United States,Techstars Seattle Accelerator
Site Bionics,"Artificial intelligence and machine learning,Future of work",Pre-Seed,United States,"Site Bionics uses advanced AI and computer vision to provide deep analytics of physical stores to help improve operational efficiency, elevate customer experience, and protect people and product. We are the most complete, scalable solution available.","- Reached agreement with our first multi-store pilot customer / development partner.
- Demo'ed our complete tech stack.
- All elements of tech stack are ready for initial deployment.
- In the process of deploying to our initial tech deployment location.",Site Bionics Pre-Seed Pitch Deck - TS Investor Reveal.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/Ps0lo9YcSuPDtgrSFk94AA/_upuYMj8wqv7QTd1PJZuDMdXr0IumI6pq3OHXPmefBp1tdenPEa40JHKvAhGWPQWhAEPlh9ffvkwdZ5wbMulsVUh6Lto5TzpKLpcuSm7dIOQNKJN6OEKhZiPp17HjAorlxbUqy7ES-5a4jGGMU36wKRlequ3sM7kAPKYscpPYJelTKCNqkP_Q-DfbSi2upr3/ZdYvZgjRRYXsyaYExsueq-A-88m3xo3d1PYvOaVFuaI),https://brdg.app/s/lkdt7g,Adam Blair,https://www.linkedin.com/in/adam-blair-b456441/,https://fast.wistia.com/embed/medias/kunrv136m2,https://sitebionics.com,California,United States,Techstars San Diego powered by San Diego State University
Fuddis,"Foodtech,Restaurant tech,""Technology, media and telecommunications""",Seed,Latin America,"Fuddis is the operational backbone of food SMBs, where they can access a marketplace, socialize their products, request last mile or national shipping, have a digital wallet and become part of a community of food entrepreneurs!","- 76% 9-month retention.
- 8% growth on orders w/w.
- Ecosystem of 300 food providers on the platform.
- ~1000 monthly active users in the platform.",Startup Pitch deck Fuddis Techstars-compressed.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/zZKuJuT-jj6uS6A3t7Gmvw/aqUfdsRA4mnGOW-6WWPwOjPF1OYrpmyO-m-LAbauvLwNc4IWWHgf35nGbxAaypFT5c4ut0Q1072Peg7vomusUC6GJGF_ImDrMmVP8UJZ8Gm1Rrk6WuqSsn_SfHLks8Xwkmp11zgEVS1IvmTwsjGmdvSoLlOu-lXhWcBOCetpNiNCvvtp2kdMU_Kakn-EAFvg/1qxvRlDEnu-H9eV3gZHjSBv8S7LDZg76E_HuxKY5y4M),https://brdg.app/s/v92max,Cuauhtli Padilla,https://www.linkedin.com/in/%F0%9F%A5%B8cuauhtli-padilla-arias-81560a52/,,www.fuddis.com,,Mexico,Techstars Miami powered by J.P. Morgan
Okkular ,"Artificial intelligence and machine learning,Marketing tech",Seed,Asia,"Okkular is an AI company helping fashion & furniture businesses increase their online sales. It automates the generation of product attributes, tags, descriptions from the image and leverages this meta data to enhance personalisation.","- Working with 20 brands and generating an ARR of $100k already. 
- Customer, Blue Bungalow, saw a 30% increase in conversions from using the catalogue enrichment product.
- Customer saw a 300% increase in conversion from using visual recommendation product.",Okkular Overview.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/jd1eRMQ4guChQFq-I9DDRg/U83RbSf6Ifkt8c96bSKonDHKcoQ-ZJuBesHLfXQ6uI_1zBokLsJA-b4COZU3xu08sDd8z-iiCpM0l7jQPLAsWQ1-jeyHBLyWtkRUmS6WTy1PzsffA0-LXV8ikdNyga4vVoUD2R_aIjPJNDg82k40Ew/F772KDwVvEHtOSwls7z_xJMmTAMBFvQxEQekqlobOas),https://brdg.app/s/4twrja,Abhishek Vohra,https://www.linkedin.com/in/abhishek-vohra-7a964556/,,www.okkular.io,,Australia,Techstars Future of Ecommerce powered by eBay
Fundwurx,"Future of work,HRtech,Impact investing",Pre-Seed,United States,"Fundwurx is a platform that simplifies corporate philanthropy for businesses. Our software streamlines the most expensive and manual tasks in Corporate Social Responsibility (i.e., workplace giving, gift matching, volunteering, and data tracking).
","- We just closed our first 12-month contract and have a pipeline value of over $40k from prospective customers.
- We launched our product in October 2023 with one of the largest SBA lenders in the country.
- We helped our first customer reduce administrative processes from 2 weeks down to just 2 seconds which led to employee CSR participation rate increasing by 10X.
- Have raised $220k in capital to date.",FundwurxDeck_fortechstars_revealform-compressed.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/aDuMXWl35jcEEjbl6gUqQw/66oCM4c734ykTvZXrXE5Aw8PMmXwBP6ef_UGLCaAy1VWr3O-tb7RSEibwCGVKVX3MDOwtNgM47K3deEhLpDYL78A7jUtN98slZhjsJ0fLBquerhOm2y8uYNf6Ad80UgspFxl2U8qv-ToXbLu38robYdHHev5mmtRT9rlKp-_D8n7SOEF0bS89W6ayojZ47e0/03puQrQWICGrI9o13ZKFQQVpNjjeKcRoPhb6FlJQPdU),https://brdg.app/s/xl6en5,Ben Ford,www.linkedin.com/in/ben-a-ford,,https://www.fundwurx.com/,Pennsylvania,United States,Techstars Oakland powered by J.P. Morgan
PerformVu,"Artificial intelligence and machine learning,""Technology, media and telecommunications""",Pre-Seed,United States,"Revolutionizing the art world in the way Twitch transformed gaming and Spotify reshaped music, PerformVu offers unparalleled digital access to video art from eminent artists and renowned art museums. Catering to a market of growing 180 million in the US alone, PerformVu is poised to disrupt the entertainment industry, bringing the allure of video art right into the homes of global audiences.","- We hit +140 active paying subscribers 6 months after our July ‘23 launch, with consistent 20% MoM organic growth.
- 84% of our customers convert after the free trial, 52% of our weekly active users are returning customers, and paid-churn rate sits at below 4%.
- In our first partnership, we created an immersive video art lounge for Miami Art Week with over 500 attendees. Next we are launching our affiliate partnership with SELECT, to promote PerformVu to their huge member community.
- We secured advisors across the top streaming platforms and major arts museums, incl: Ex-Product Lead @ Netflix, Head of Product @ Amazon FireTV, Chief Strategy Officer @ The Whitney Museum, MoMA Trustee + Arts Executive.",PerformVu Techstars Deck_ JAN 18.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/5TKoEjueviG3o9l4Z4an4Q/rdsfWHhFAhNQDE0MvGcqGc3JQSQaa7tJm59bma4l1e8SZrG6uiIkvSCXmz0Npv280fVSsjKkQI5vdKBYcnBDE8ZakB_I1QqyIsuVJMd2hwqar6d9pDB7zOhr40yNPOO1PlWWYR_h8VEyIqmVArka3TadshoY9pGwBHi7F9fwvBM/LyrXrjEaJVnB_62y2sHL9CS_zfYoBj6r1LGF35iNwX4),https://brdg.app/s/vk7wyg,Indy Sanders,https://www.linkedin.com/in/indiasanders/,,https://www.performvu.com/,New York,United States,Techstars Oakland powered by J.P. Morgan
Coordle ,"Mobility tech,Sports Tech",Pre-Seed,United States,"Coordle is a tech platform for people frustrated by manual labor, lack of real-time information, and difficulty organizing the details while moving groups of people traveling.","- LOI being signed with 360 Volleyball Club and HBSeeYou Volleyball Camp.
- Managed a 63-person Upsurge Baltimore Delegation.
- Partnered with Techstars Founder Catalyst.",Coordle Investor Deck1.18.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/g5im4XqfD2-rmm5vyoFN5w/nMl9Pntx1kwJfsOZh--RMhiLZMi4qmfGguH0JflV5ToOsnva0AmF8Fo6ppGIwbe580N9BotB4hKU1IRqAKUruzdNvVtFmaBw6tvnweaIZhv8ESbbDp211qQl5vsVnMMXNEpqHO2n6srszYHxLQPEVFznujUaA0PmmcxDphRHLBQ/-5sXOYli14Ltvc0KAf-wqa8jXB07pTYC03hjgDhQAuc),https://brdg.app/s/j0co1m,Jen Fry ,https://www.linkedin.com/in/jenfry13/,,https://coordleapp.com,Maryland,United States,Techstars Detroit powered by J.P. Morgan
Complok,"Fintech,Artificial intelligence and machine learning",Pre-Seed,Europe,"Complok is an AI-driven risk assessment platform that saves compliance teams 80% of their time on repetitive tasks, replaces Excel, and saves fintechs 100’s of thousands on consultants, fines & new hires.","'- First product was launched in 2021 and has generated 4,500EUR MRR, to date. 
- Pivoted in March 2022, with 120 customers  in the pipeline (6 contracts signed and 2 paying as of January 2024).",Complok Pitch Deck for Techstars.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/S--e7C9tRuXY_kLqfgI3zA/reKN_Nf2nogbtlj98VnvY26j6UxB7mmNATBLJexIHI57vc3zO2g8968mf81OK1_v9ysozw_Eygj63epDZqmenhzc-vuk_sdlr9scIoqCb-cvnVvVT2Y5kVgYG8_DHH3btc5OtgSFldXSeJTAct9dkGBufdBTybzBvPQx_VEwLwE/yoSUGmKRdRfX9g060MjZQ2cN7fUYntAiRVfzYwxr980),https://brdg.app/s/9vc92i,Mari-Liis Kurg,https://www.linkedin.com/in/mari-liis-kurg/,,www.complok.eu,,Estonia,ABN AMRO & Techstars Future of Finance Accelerator
Vessl Prosthetics Inc,"Age Tech,Healthtech,Wearables and quantified self",Pre-Seed,Canada,"A leg is amputated every 30s, and poor socket fit, the fit between the amputees’ leg and the prosthetic leg, is debilitating. So, Vessl is developing the isoform socket that automatically adjusts to changes in leg size to maintain a comfortable fit.","- 6 letters of intent from prosthetists.
- Engaging with 6 Veterans Affairs healthcare centers on product validation.
- Dozens of amputees on waitlist to test Isoform socket.
- Pursuing clinical case study with Baylor College of Medicine.",Vessl Reader Deck for Techstars investor reveal.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/js1XySMbY02xydyRtp3G6A/ZBNY38TmeX9j5FCS6X_AW0IQ4Dm9B2gkE1fLr2yHo-Q9XT_eLq5GXO0Z6qI1hx8q6JYOo27JrvBqJQB7rjhQGfLGJoLDWTcvB1DWogIYcSZwbeLC3lfongooTDjFNEvrYTwEZbdWwd_btQUBLnBMdZKYt0GCbfQ_3rLNSdOcWgNZ2-FedbsPDSx8-sDm7APl/OkI-ObcLp8ihhpOLrVdjwdwuX6eeGANXcHzfdTqO17s),https://brdg.app/s/v8myv7,Sydney Robinson,https://www.linkedin.com/in/sydneymrobinson/,https://fast.wistia.com/embed/medias/36er9r941c,https://vesslpro.com,,Canada,Techstars Physical Health Fort Worth
illumicell AI,"Life sciences,Artificial intelligence and machine learning",Pre-Seed,United States,"illumicell AI is a power of a lab in a small device: combining a patented AI algorithm with proprietary hardware to bring sperm testing to every doctor’s office. It yields 98% accuracy 50x faster, 20x cheaper, without specialist input. ","'- 20+ LOIs with the leading clinics, incl. Boston IVF, Weill Cornell, Harvard Chan.
- 3 KOLs endorsed (incl. WHO semen analysis author), 2 experts onboarded.
- Hardware prototype with image capture & visualization.
- 4 Pilots in pipeline.",Illumicell-AI_pitch.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/s4d2ZrG7XAmxGKlT79paBw/lNNwzIa--lstGtpCz4zim0vJ0KFImdd2i8v3xjaJSGiv0TMzInesVV1kfMx21fvrF4wePW0u0l9wSckRZS11zTHJby08i65D8cyot9vAEwabaX-1lD6qe3XxnE5_1lKkbEwBdJbvCJWAjTLiLT7BiM7fL5FJ7BeELZRFlmgj2JE/lwU_e3OCPxPGj_DCOiJjP_Yis4V63vhAfKJMpSm9N_4),https://brdg.app/s/4r5oic,"Michel Bielecki, MD",https://www.linkedin.com/in/mishkah/,,www.illumicell.ai,Massachusetts,United States,Techstars Berlin Accelerator
Diagon,"Manufacturing,Supply chain technology",Seed,United States,Diagon is a procurement platform for manufacturing equipment. Diagon helps customers discover qualified suppliers for complex equipment projects. Diagon saves time and money by negotiating favorable commercial terms like a Fortune 500 enterprise.,"'- Signed LOI with a battery manufacturer for $12,500/mo revenue-generating contract (starting 2/1). This contract would 3x our MRR.
- Signed contract w/ Zeno Power (Techstars 2019) to support procurement needs for test equipment.
- Hosted Movers & Makers event with over 200 attendees from across the manufacturing industry; generating over 15 qualified leads.
- YOY growth is on track to more than 10x from 2023 to 2024.",Diagon Pitch Deck - Condensed.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/2OKPNJouildKCw_-74NUMw/wGWGBEjV6VYKATxtFSSc6d8I1cRE2Zqea2q7BCQ62SifvPAKi0A_KaamPYCIThpFO9ZoBqZvlBcrnargeVhnCjUyLA7B9N4LdfFDRoaF7FTpPICwalwM1DAceD8xEVcnPT-nAzqfosDV7zj2OPWxA4TYsotuXWUCMI9YJJrd-Uc/dPq6u9PV42-Ri6VHN6bS-42aIegbqTs2rf8bPcfvMy0),https://brdg.app/s/l77utz,Will Drewery,https://www.linkedin.com/in/williamdrewery/,https://fast.wistia.com/embed/medias/loz84nripm,https://www.diagon.ai/,California,United States,Techstars Los Angeles powered by J.P. Morgan
Vital Audio Inc,"Artificial intelligence and machine learning,Digital health,Healthtech",Seed,United States,"Vital Audio develops novel digital voice biomarkers software for clinical insights (heart rate, heart rate variability, respiratory rate and lung capacity) from short voice clips during phone calls. The collected data is made available in 15 seconds.","- Signed two large scale MOUs Q4 2023 with Tele911 for more than 4 million lives for 2024. And another accounting four clinics in Manhattan, NY.
- FDA Exemption Approved.
- National Science Foundation Awardee.
- Won Berkley 2022/23 Healthcare and Biomedical Ventures Competition.",Vital_Audio_Deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/TgIlRxxyvhL3KsUwgBlgGQ/pNdG7VjlHD3X5rcBqYaM4o6FSS-2ohSm90a-rpN5cVdW-h_cp_Aw1ViZW5FrNlv1K9LwCd2xzs80tUhDwLeHoaYr11cjBn8JVLHFah2Q8Ac4FnIMX4bSLC30FVCekcSQir8HahLbUs4juepQollkaQ/U4ZwA4sRaw3S1YJWntj1pKwV2kxUKyNOK_ke7ve-ZK4),https://brdg.app/s/tgf9f3,Nyamitse-Calvin Mahinda,linkedin.com/in/nyamitse-calvin-mahinda,https://fast.wistia.com/embed/medias/9l05pw8z1h,www.vitalaudio.io,New York,United States,Techstars Los Angeles powered by J.P. Morgan
Be Human(e),"Artificial intelligence and machine learning,Edtech,Gaming",Pre-Seed,United States,Be Human(e) merges AI-powered gaming & real-world scenarios to nurture kids' life-success skills. While empowering educators & parents with expert-level actionable insights to foster holistic development in the digital generation.,"'- Effective Pilot: Our test with 60 high school students showed a 75% improvement in technology habits, proving our platform's impact.
- Educational Demand: With 6 Letters of Intent from schools, there's strong interest in our platform's educational use case.
- Expert Advisors: Our board includes Ivy League experts in child psychology and emotional intelligence, enhancing our credibility.
- Focus on Parents: Shifting to the parent market, Be Human(e) aims for a direct impact on child well-being.",Be Human(e) - Teaser Pitch Deck_.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/yeGmH8fc2pGE-Da38K38mw/YWyv9VilNOA43eytSDVP5RkgZA-Y4LaKRIYhdM5nrNq89ur3IWZszIFLncj69L47uuHxqtbfr5PpuxB1WEQkYq8SaDbswu7WGqeHQFHFEGV4R42wFbecuyd_B5VBnHCpkYZNzbDp6UOYPLqLrwTr3JZHTc-3kzdjVrHOt-5eF9g/yCqqckJJS1DJmuVBmXYqiIh4Ri3tNDDnhp5K20nPpCc),https://brdg.app/s/rnauqe,Sara Filipcic,https://www.linkedin.com/in/filipcicsara/,https://fast.wistia.com/embed/medias/ojm02la3po,https://www.behumane.ai/,California,United States,Techstars Austin Accelerator
